,id,tweet,label,text
6999,1517,#IndiaFightsCorona: There are only 4 States in the country where the total number of active cases is more than 50000: Secretary @MoHFW_INDIA #StaySafe #IndiaWillWin @ICMRDELHI https://t.co/X4vBhJJBen,0,#IndiaFightsCorona: There are only 4 States in the country where the total number of active cases is more than 50000: Secretary @MoHFW_INDIA #StaySafe #IndiaWillWin @ICMRDELHI https://t.co/X4vBhJJBen
8434,1673,In Italy the cure for Coronavirus is finally found.,1,In Italy the cure for Coronavirus is finally found.
4908,695,409 new cases of #COVID19; Lagos-201 FCT- 85 Delta- 22 Edo- 16 Nasarawa- 14 Borno- 14 Kaduna- 14 Bauchi-10 Rivers-9 Enugu- 5 Kano- 5 Ogun- 4 Ondo- 4 Bayelsa- 2 Kebbi- 2 Plateau- 2 Total of: 13873 confirmed cases 4351 discharged 382 deaths https://t.co/RDk2lvuKaG,0,409 new cases of #COVID19; Lagos-201 FCT- 85 Delta- 22 Edo- 16 Nasarawa- 14 Borno- 14 Kaduna- 14 Bauchi-10 Rivers-9 Enugu- 5 Kano- 5 Ogun- 4 Ondo- 4 Bayelsa- 2 Kebbi- 2 Plateau- 2 Total of: 13873 confirmed cases 4351 discharged 382 deaths https://t.co/RDk2lvuKaG
4996,2263,Georgia has consistently reported thousands of new cases each day—and has the fourth-largest number of hospitalized COVID-19 patients today trailing only much larger states (CA FL TX). https://t.co/xtINB3o8bx,0,Georgia has consistently reported thousands of new cases each day—and has the fourth-largest number of hospitalized COVID-19 patients today trailing only much larger states (CA FL TX). https://t.co/xtINB3o8bx
1320,2928,The government's chief scientific officer Sir Patrick Vallance says the UK could face 49000 new #COVID19 cases a day by mid-October. Get the latest on this story: https://t.co/N4ZDlImWKK https://t.co/wtDfQgNQz4,0,The government's chief scientific officer Sir Patrick Vallance says the UK could face 49000 new #COVID19 cases a day by mid-October. Get the latest on this story: https://t.co/N4ZDlImWKK https://t.co/wtDfQgNQz4
4763,788,@WHO recommends a positive test rate of less than 10% before reopening. The countries most successful in containing COVID have rates of 3% or less. Testing capacity is a vital metric to consider when #ReopeningSafely,0,@WHO recommends a positive test rate of less than 10% before reopening. The countries most successful in containing COVID have rates of 3% or less. Testing capacity is a vital metric to consider when #ReopeningSafely
3346,4784,"For months, the Trump Administration was repeatedly warned about the threat COVID-19 posed to our nation. They ignored the experts, failed to take action, and now Americans are paying the price. https://t.co/YiSTQPnLNy",1,"For months, the Trump Administration was repeatedly warned about the threat COVID-19 posed to our nation. They ignored the experts, failed to take action, and now Americans are paying the price. https://t.co/YiSTQPnLNy"
48,230,A doctor named Leslie Chow discovered the coronavirus and died after contact with coronavirus patients.,1,A doctor named Leslie Chow discovered the coronavirus and died after contact with coronavirus patients.
5090,603,Health Ministry issues Updated Advisory on #COVID19 testing. Simplified Testing Procedure &amp; ‘On-demand’ Testing for the first time. https://t.co/BhOcMQp4Xs @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @ICMRDELHI @mygovindia @COVIDNewsByMIB,0,Health Ministry issues Updated Advisory on #COVID19 testing. Simplified Testing Procedure &amp; ‘On-demand’ Testing for the first time. https://t.co/BhOcMQp4Xs @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @ICMRDELHI @mygovindia @COVIDNewsByMIB
3742,2883,KOWHEORI-19 (COVID-19) Update​ ​ There are two new cases of COVID-19 to report. The first has been detected in a recent returnee in a managed isolation facility and the second is a community case.,0,KOWHEORI-19 (COVID-19) Update​ ​ There are two new cases of COVID-19 to report. The first has been detected in a recent returnee in a managed isolation facility and the second is a community case.
4945,1106,Our daily update is published. We’ve now tracked 21.5 million tests up 420k from yesterday. So far we haven't seen the really big test numbers that we saw last week. For details see: https://t.co/PZrmH4bl5Y https://t.co/RjbaVzCeMu,0,Our daily update is published. We’ve now tracked 21.5 million tests up 420k from yesterday. So far we haven't seen the really big test numbers that we saw last week. For details see: https://t.co/PZrmH4bl5Y https://t.co/RjbaVzCeMu
3815,3783,A Wisconsin GOP lawmaker said that masks are ineffective against COVID-19. False. A growing body of evidence shows that masks can reduce transmission of COVID-19. https://t.co/9jyNyEZrlD https://t.co/LshGwceaRW,1,A Wisconsin GOP lawmaker said that masks are ineffective against COVID-19. False. A growing body of evidence shows that masks can reduce transmission of COVID-19. https://t.co/9jyNyEZrlD https://t.co/LshGwceaRW
742,1423,NEWS! Parliament and other non-essential activities to reopen in June https://t.co/zIInu3zEa3 https://t.co/a7juGCR2qz,1,NEWS! Parliament and other non-essential activities to reopen in June https://t.co/zIInu3zEa3 https://t.co/a7juGCR2qz
7306,754,We’ve been fact-checking @realDonaldTrump since 2011. Check out his PolitiFact scorecard including his claims about COVID-19 and Biden: https://t.co/KrciaOND1o https://t.co/ft8kfntJka,1,We’ve been fact-checking @realDonaldTrump since 2011. Check out his PolitiFact scorecard including his claims about COVID-19 and Biden: https://t.co/KrciaOND1o https://t.co/ft8kfntJka
5402,1959,Michigan reports a disproportionate amount of COVID-19 cases and deaths among Black people. But state-level data does not reveal the ways COVID-19 is impacting local communities. To track this @covid19tracking has followed a few cities since end of May. https://t.co/7plsSFrTgn,0,Michigan reports a disproportionate amount of COVID-19 cases and deaths among Black people. But state-level data does not reveal the ways COVID-19 is impacting local communities. To track this @covid19tracking has followed a few cities since end of May. https://t.co/7plsSFrTgn
2833,4483,"Claim that ""there is no"" COVID-19 virus.",1,"Claim that ""there is no"" COVID-19 virus."
3077,1468,Ethiopia reports 2144 new infections with the novel coronavirus bringing the total number to 63000.,1,Ethiopia reports 2144 new infections with the novel coronavirus bringing the total number to 63000.
8034,943,Photo shows crowd at anti-coronavirus lockdown rally in Berlin,1,Photo shows crowd at anti-coronavirus lockdown rally in Berlin
4217,5962,A biomedical researcher with 12 years of laboratory experience debunks the established conclusions about the COVID-19 pandemic.,1,A biomedical researcher with 12 years of laboratory experience debunks the established conclusions about the COVID-19 pandemic.
5046,2874,Untreated Vitamin D deficiency linked to an increased risk of COVID-19. https://t.co/QpNLo6zTvI,0,Untreated Vitamin D deficiency linked to an increased risk of COVID-19. https://t.co/QpNLo6zTvI
